09 Jul 2006;18:00;Italy;France;2.540000;2.810000;3.240000;2;1;pen
08 Jul 2006;19:00;Germany;Portugal;1.880000;3.410000;4.300000;3;1;
05 Jul 2006;19:00;Portugal;France;3.920000;2.860000;2.200000;0;1;
04 Jul 2006;19:00;Germany;Italy;2.460000;2.890000;3.270000;0;2;ET
01 Jul 2006;19:00;Brazil;France;1.750000;3.410000;4.990000;0;1;
01 Jul 2006;15:00;England;Portugal;2.100000;2.990000;4.000000;0;1;pen
30 Jun 2006;19:00;Italy;Ukraine;1.570000;3.480000;6.940000;3;0;
30 Jun 2006;15:00;Germany;Argentina;2.500000;3.070000;2.990000;2;1;pen
27 Jun 2006;19:00;Spain;France;2.370000;3.010000;3.210000;1;3;
27 Jun 2006;15:00;Brazil;Ghana;1.270000;5.410000;10.340000;3;0;
26 Jun 2006;19:00;Switzerland;Ukraine;2.370000;3.110000;3.170000;0;1;pen
26 Jun 2006;15:00;Italy;Australia;1.520000;3.820000;6.950000;1;0;
25 Jun 2006;19:00;Portugal;Netherlands;3.120000;3.070000;2.440000;1;0;
25 Jun 2006;15:00;England;Ecuador;1.490000;3.860000;7.370000;1;0;
24 Jun 2006;19:00;Argentina;Mexico;1.360000;4.270000;10.180000;2;1;ET
24 Jun 2006;15:00;Germany;Sweden;1.610000;3.660000;5.890000;2;0;
23 Jun 2006;19:00;Switzerland;South Korea;1.970000;2.970000;4.430000;2;0;
23 Jun 2006;19:00;Togo;France;16.300000;7.660000;1.130000;0;2;
23 Jun 2006;14:00;Saudi Arabia;Spain;17.030000;7.060000;1.150000;0;1;
23 Jun 2006;14:00;Ukraine;Tunisia;1.590000;3.710000;6.030000;1;0;
22 Jun 2006;19:00;Croatia;Australia;2.200000;3.300000;3.100000;2;2;
22 Jun 2006;19:00;Japan;Brazil;12.000000;6.000000;1.200000;1;4;
22 Jun 2006;14:00;Czech Republic;Italy;3.950000;3.150000;1.950000;0;2;
13 Jun 2006;16:00;France;Switzerland;1.650000;3.400000;5.800000;0;0;
12 Jun 2006;13:00;Australia;Japan;2.500000;3.150000;2.800000;3;1;
11 Jun 2006;16:00;Mexico;Iran;1.560000;3.650000;6.870000;3;1;
11 Jun 2006;13:00;Serbia and Montenegro;Netherlands;4.150000;3.220000;1.940000;0;1;
10 Jun 2006;19:00;Argentina;Ivory Coast;1.600000;3.590000;6.430000;2;1;
10 Jun 2006;16:00;Trinidad & Tobago;Sweden;12.340000;5.150000;1.290000;0;0;
10 Jun 2006;13:00;England;Paraguay;1.660000;3.420000;5.850000;1;0;
09 Jun 2006;19:00;Poland;Ecuador;1.900000;3.250000;3.750000;0;2;
09 Jun 2006;16:00;Germany;Costa Rica;1.250000;5.170000;12.230000;4;2;
